cow_lactation_id,cow_id,herd_id,parity_prior_lactation,n_scc_records_previous_lactation,dry_off_scc_missing,dry_off_clinical_mastitis_within_7d,dry_off_imi_status_paper_rule,calving_interval_days,lactation_length_days,month_of_dry_off,month_of_calving,first_scc_prev_lactation_cells_ml,median_scc_prev_lactation_cells_ml,mean_scc_prev_lactation_cells_ml,min_scc_prev_lactation_cells_ml,max_scc_prev_lactation_cells_ml,mean_first3_scc_prev_lactation_cells_ml,mean_last3_scc_prev_lactation_cells_ml,ratio_last3_to_first3_scc,last_scc_prev_lactation_cells_ml,consecutive_3_scc_gt_200k_prev_lactation,pct_scc_lt_50k_prev_lactation,pct_scc_gt_100k_prev_lactation,pct_scc_gt_200k_prev_lactation,pct_scc_gt_400k_prev_lactation,pct_scc_gt_1000k_prev_lactation,peak_yield_prev_lactation_kg,yield_at_last_recording_kg,herd_new_dry_period_imi_6mo_rate,herd_new_dry_period_imi_year_rate,herd_mean_scc_k_cells_ml,herd_predicted_305d_yield_l,post_calving_sample_day,post_calving_scc_cells_ml,post_calving_scc_threshold_used_cells_ml,clinical_mastitis_within_30d_post_calving,raised_scc_post_calving_paper_rule,normal_scc_post_calving_paper_rule
CL-01024,COW-00512,HERD-024,2,9,0,0,0,413,301,3,6,60523,26130,34446,14384,86839,34372,45043,1.31,27838,0,77.8,0,0,0,0,45.95,31.97,0.253,0.237,162.9,11120,12,95421,200000,0,0,1
CL-01025,COW-00513,HERD-028,1,9,0,0,0,336,262,8,10,64820,49973,68326,34250,173746,49189,99309,2.019,173746,0,55.6,11.1,0,0,0,35.98,25.88,0.157,0.158,244.9,9576,9,70229,200000,0,0,1
CL-01026,COW-00513,HERD-002,4,7,0,0,0,434,322,1,3,50288,90809,114627,42059,237246,113011,75371,0.667,42059,0,14.3,28.6,28.6,0,0,49.85,35.84,0.055,0.105,133.7,10327,17,56021,200000,0,0,1
CL-01027,COW-00514,HERD-042,2,13,0,0,0,349,288,1,3,66511,151877,170561,66511,334622,155950,167065,1.071,107262,0,0,84.6,23.1,0,0,37.37,15.55,0.176,0.156,243.8,9700,14,27008,200000,0,0,1
CL-01028,COW-00514,HERD-025,4,8,0,0,0,376,384,8,10,115719,108352,115053,60033,175604,115442,97860,0.848,93102,0,0,62.5,0,0,0,44.24,27.45,0.055,0.077,231.2,10871,10,348568,200000,0,1,0
CL-01029,COW-00515,HERD-054,1,7,0,0,1,393,331,11,1,212385,131381,168600,71620,453388,143599,225927,1.573,453388,0,0,57.1,28.6,14.3,0,41.44,20.1,0.151,0.134,186.5,11230,21,59397,200000,0,0,1
CL-01030,COW-00515,HERD-037,1,8,0,0,1,376,305,10,12,279373,272093,297696,176668,664225,287791,368568,1.281,264812,1,0,100,75,12.5,0,31.57,23.46,0.192,0.175,226.4,9926,12,436329,200000,0,1,0
CL-01031,COW-00516,HERD-068,3,9,0,0,1,414,311,11,1,262334,257060,274997,107079,673331,288365,237117,0.822,257060,0,0,100,55.6,22.2,0,40.8,27.06,0.211,0.193,140.3,10726,13,97678,200000,0,0,1
CL-01032,COW-00516,HERD-033,3,11,0,0,1,398,323,2,5,285020,387807,473338,151073,1262636,277616,805140,2.9,764976,1,0,100,81.8,36.4,9.1,37.35,14.2,0.187,0.144,156.7,9366,8,115745,200000,1,1,0
CL-01033,COW-00517,HERD-068,4,10,0,0,1,422,225,4,6,213469,286230,333178,168069,597083,255163,439877,1.724,260814,1,0,100,80,30,0,44.01,31.94,0.211,0.193,140.3,10726,3,851279,400000,0,1,0
CL-01034,COW-00517,HERD-047,1,12,0,0,1,397,310,5,7,145988,178801,262416,68452,899902,130583,481967,3.691,448297,0,0,83.3,41.7,16.7,0,33.7,20.86,0.188,0.192,300.5,6443,21,129710,200000,0,0,1
CL-01035,COW-00518,HERD-072,2,9,0,0,0,349,341,12,3,79911,74441,77906,36208,120459,55689,95305,1.711,120074,0,11.1,33.3,0,0,0,51.25,40.49,0.191,0.164,259,11562,12,57045,200000,0,0,1
CL-01036,COW-00518,HERD-004,2,9,0,0,0,370,270,7,10,45532,61842,70098,32343,134541,52242,89948,1.722,74589,0,44.4,22.2,0,0,0,38.56,25.34,0.144,0.13,327.3,9167,10,15375,200000,0,0,1
CL-01037,COW-00519,HERD-029,3,13,0,0,1,438,323,8,11,385576,297479,274100,74193,555348,440191,240774,0.547,307680,1,0,84.6,69.2,7.7,0,41.5,22.17,0.112,0.124,216.7,11066,4,621625,400000,0,1,0
CL-01038,COW-00519,HERD-015,1,11,0,0,0,352,312,6,9,110381,33533,53771,18308,140448,60349,64137,1.063,33533,0,72.7,27.3,0,0,0,33.45,17.06,0.153,0.15,277,11810,25,91784,200000,0,0,1
CL-01039,COW-00520,HERD-050,2,7,0,0,0,337,353,9,12,105170,72445,70419,39327,105170,76346,55021,0.721,39327,0,14.3,14.3,0,0,0,38.01,25.94,0.181,0.173,88.8,8329,18,51711,200000,0,0,1
CL-01040,COW-00520,HERD-011,2,8,0,0,0,372,290,9,11,45493,66942,86227,30351,174771,100345,54745,0.546,30351,0,25,25,0,0,0,45.19,27,0.115,0.111,273,9796,30,75740,200000,0,0,1
CL-01041,COW-00521,HERD-068,3,9,0,0,1,322,319,11,2,468516,263880,323271,146579,525297,359070,311919,0.869,525297,1,0,100,77.8,33.3,0,52.56,34.18,0.211,0.193,140.3,10726,23,52973,200000,0,0,1
CL-01042,COW-00521,HERD-032,3,8,0,0,0,423,302,2,4,114279,145186,163939,82615,335211,114571,191207,1.669,155795,0,0,75,25,0,0,45.6,29.08,0.174,0.18,187.1,9895,16,19974,200000,0,0,1
CL-01043,COW-00522,HERD-054,1,10,0,0,0,317,326,8,11,311519,173963,206999,66937,383337,207379,138949,0.67,127817,0,0,90,40,0,0,34.98,11.56,0.151,0.134,186.5,11230,18,51815,200000,0,0,1
CL-01044,COW-00522,HERD-047,2,10,0,0,1,415,368,8,11,123161,24718,55159,8888,208204,62579,97823,1.563,208204,0,70,20,10,0,0,25,18.36,0.188,0.192,300.5,6443,6,118929,200000,0,0,1
CL-01045,COW-00523,HERD-032,3,12,0,0,1,404,273,3,5,275177,189062,227947,90037,538188,395829,205240,0.519,208304,1,0,91.7,50,8.3,0,33.21,13.18,0.174,0.18,187.1,9895,4,159165,400000,0,0,1
CL-01046,COW-00523,HERD-028,1,11,0,0,0,343,209,3,6,77124,63513,68544,35791,135059,52789,94437,1.789,94608,0,27.3,9.1,0,0,0,42.2,25.14,0.157,0.158,244.9,9576,1,205556,400000,0,0,1
CL-01047,COW-00524,HERD-074,2,13,0,0,0,435,229,2,5,27098,28093,31316,7037,66755,29876,28673,0.96,30626,0,84.6,0,0,0,0,35.15,24.47,0.136,0.138,197.1,8215,22,92256,200000,0,0,1
CL-01048,COW-00524,HERD-056,2,13,0,0,0,300,293,12,2,1266584,156313,360364,67477,1566553,970916,149553,0.154,73383,0,0,76.9,38.5,15.4,15.4,40.91,31.2,0.147,0.148,231.1,10045,12,480339,200000,0,1,0
CL-01049,COW-00525,HERD-067,3,14,0,0,0,388,344,3,5,146773,167403,174055,69327,286226,190733,127024,0.666,148426,0,0,92.9,28.6,0,0,46.24,31.72,0.142,0.139,204.7,5000,20,347917,200000,0,1,0
CL-01050,COW-00525,HERD-013,3,7,0,0,1,429,274,8,10,777214,388659,506522,280412,1016115,549036,534774,0.974,1016115,1,0,100,100,42.9,14.3,45.62,39.7,0.132,0.157,240.9,7396,3,2442003,400000,0,1,0
CL-01051,COW-00526,HERD-039,2,11,0,0,0,396,284,7,10,74712,99550,162717,45813,523795,139854,128356,0.918,186480,0,18.2,45.5,27.3,9.1,0,37.09,21.92,0.178,0.194,310.9,10052,13,109240,200000,0,0,1
CL-01052,COW-00526,HERD-014,2,14,0,0,0,465,315,4,6,49142,57278,77013,22569,192778,68461,84248,1.231,145359,0,35.7,21.4,0,0,0,37.15,22.97,0.104,0.109,287.2,12339,9,46467,200000,0,0,1
CL-01053,COW-00527,HERD-033,3,8,0,0,0,391,280,10,12,249396,198432,194135,117595,249396,222413,151461,0.681,169177,0,0,100,50,0,0,33.4,24.07,0.187,0.144,156.7,9366,12,915598,200000,0,1,0
CL-01054,COW-00527,HERD-048,2,10,0,0,0,300,373,5,8,47786,99060,99401,43541,186002,119232,97348,0.816,44484,0,30,50,0,0,0,31.3,15.21,0.128,0.134,168.3,9762,17,93390,200000,0,0,1
CL-01055,COW-00528,HERD-024,5,11,0,0,1,441,304,4,6,470385,513155,678482,338555,1793848,670562,993188,1.481,672562,1,0,100,100,81.8,18.2,49.39,42,0.253,0.237,162.9,11120,2,1163227,400000,0,1,0
CL-01056,COW-00528,HERD-079,1,11,0,0,0,372,247,9,12,83186,73777,93233,27539,311083,47314,79288,1.676,37223,0,36.4,27.3,9.1,0,0,32.35,21.16,0.139,0.152,236.2,11514,3,117930,400000,0,0,1
CL-01057,COW-00529,HERD-064,2,11,0,0,0,346,330,12,3,70981,55823,56792,22719,91383,55769,45994,0.825,62185,0,45.5,0,0,0,0,28,16.07,0.13,0.136,80,6610,11,99752,200000,0,0,1
CL-01058,COW-00529,HERD-084,4,10,0,0,1,414,302,1,4,242006,248595,341078,81669,881891,272126,417956,1.536,409859,0,0,90,60,40,0,35.94,22.53,0.091,0.099,272,9088,10,2067075,200000,0,1,0
CL-01059,COW-00530,HERD-061,4,10,0,0,0,427,318,3,5,210978,415372,475937,158475,1201264,255873,515499,2.015,170857,1,0,100,70,50,10,41.77,27.7,0.206,0.169,222,7228,9,415897,200000,0,1,0
CL-01060,COW-00530,HERD-076,4,10,0,0,1,334,365,9,11,782585,405436,393387,124049,782585,383839,352897,0.919,456612,1,0,100,80,50,0,45.42,35.78,0.222,0.182,179.2,8798,1,397382,400000,0,0,1
CL-01061,COW-00531,HERD-065,1,11,0,0,0,389,265,7,10,134857,162727,183265,82881,353355,210937,213940,1.014,99827,0,0,81.8,36.4,0,0,38.16,18.29,0.145,0.132,159.4,9309,14,71379,200000,0,0,1
CL-01062,COW-00531,HERD-001,1,10,0,0,0,490,276,10,1,53463,56524,63916,31269,120749,68564,70961,1.035,120749,0,30,10,0,0,0,41.36,30.24,0.125,0.113,238,7936,14,89721,200000,0,0,1
CL-01063,COW-00532,HERD-063,1,10,0,0,0,433,287,8,11,100524,107165,143921,67381,549509,88917,102901,1.157,115431,0,0,60,10,10,0,37.91,20.13,0.151,0.169,148.6,10261,14,63584,200000,0,0,1
CL-01064,COW-00532,HERD-018,1,8,0,0,0,380,344,2,4,187910,107272,115450,31881,197752,114661,114914,1.002,31881,0,12.5,50,0,0,0,33.34,24.69,0.137,0.16,176.4,12385,8,94719,200000,0,0,1
CL-01065,COW-00533,HERD-046,2,11,0,0,0,388,293,7,10,64541,111715,102658,56910,166498,108086,93083,0.861,85360,0,0,54.5,0,0,0,39.86,25.65,0.184,0.19,280.4,11653,1,68086,400000,0,0,1
CL-01066,COW-00533,HERD-008,2,8,1,0,0,469,271,7,9,126005,75037,83767,25733,169974,84535,54776,0.648,,0,37.5,37.5,0,0,0,40.76,31.74,0.089,0.115,86,12354,1,161920,400000,0,0,1
CL-01067,COW-00534,HERD-043,1,9,0,0,0,428,327,10,12,35682,41058,52226,23040,124767,37782,55588,1.471,91832,0,77.8,11.1,0,0,0,44.41,25.02,0.209,0.192,357,9647,4,307834,400000,0,0,1
CL-01068,COW-00534,HERD-005,3,9,0,0,0,432,267,8,11,68872,154868,158263,68872,260873,122445,203321,1.661,194221,0,0,77.8,11.1,0,0,49.11,33.3,0.147,0.138,189.6,11475,24,49114,200000,0,0,1
CL-01069,COW-00535,HERD-002,2,8,0,0,0,311,331,3,5,250251,347371,493357,151631,1384174,694494,389544,0.561,151631,1,0,100,87.5,37.5,12.5,35.36,28.54,0.055,0.105,133.7,10327,5,55612,200000,0,0,1
CL-01070,COW-00535,HERD-058,2,9,0,0,0,472,320,3,6,42863,57437,58051,33807,117641,47429,73558,1.551,41272,0,44.4,11.1,0,0,0,49.52,32.04,0.082,0.107,186.9,8607,20,23192,200000,0,0,1
CL-01071,COW-00536,HERD-069,2,11,0,0,0,350,304,7,9,610076,188447,256240,67160,699019,341596,311298,0.911,126214,0,0,81.8,45.5,18.2,0,34.86,17.31,0.169,0.193,185.3,7911,3,120929,400000,0,0,1
CL-01072,COW-00536,HERD-015,3,11,0,0,0,425,306,4,6,30699,39725,53594,22593,152653,42275,57115,1.351,32189,0,63.6,9.1,0,0,0,33.61,26.23,0.153,0.15,277,11810,10,71292,200000,0,0,1
CL-01073,COW-00537,HERD-029,1,8,0,0,0,322,294,4,7,53598,51935,62630,19825,125247,67978,50677,0.745,72525,0,37.5,25,0,0,0,41.22,38.19,0.112,0.124,216.7,11066,15,32056,200000,0,0,1
CL-01074,COW-00537,HERD-025,2,12,0,0,0,439,250,1,4,30289,91217,110129,29909,292302,102288,90895,0.889,87116,0,16.7,41.7,8.3,0,0,45.9,28.91,0.055,0.077,231.2,10871,8,63255,200000,0,0,1
CL-01075,COW-00538,HERD-040,2,11,0,0,0,417,319,3,5,155262,125909,125593,59810,193005,120140,162537,1.353,153629,0,0,63.6,0,0,0,41.38,35.74,0.149,0.164,210.1,10693,9,140010,200000,0,0,1
CL-01076,COW-00538,HERD-021,5,11,0,0,1,417,318,4,6,270339,270339,531952,184127,2261691,223354,1138788,5.099,911954,1,0,100,90.9,36.4,9.1,45.7,38.45,0.133,0.137,199.8,8217,23,14734,200000,0,0,1
CL-01077,COW-00539,HERD-074,1,9,0,0,0,358,309,9,12,58879,58879,69533,43147,168827,50095,92341,1.843,168827,0,33.3,11.1,0,0,0,35.14,25.04,0.136,0.138,197.1,8215,16,119474,200000,0,0,1
CL-01078,COW-00539,HERD-053,1,9,0,0,0,304,281,2,4,58279,112475,219902,49430,1060579,100272,423078,4.219,96180,0,11.1,66.7,22.2,11.1,11.1,23.24,9.55,0.218,0.197,263.2,5347,11,102426,200000,0,0,1
CL-01079,COW-00540,HERD-001,1,10,0,0,0,402,315,1,3,17667,29483,33704,7202,73763,17096,36816,2.153,42957,0,80,0,0,0,0,33.19,23.62,0.125,0.113,238,7936,19,70378,200000,0,0,1
CL-01080,COW-00540,HERD-011,3,12,0,0,0,412,328,1,4,42638,62633,98610,36482,301183,62118,126251,2.032,36482,0,50,25,16.7,0,0,49.72,33.44,0.115,0.111,273,9796,4,86750,400000,0,0,1
CL-01081,COW-00541,HERD-039,5,13,0,0,0,384,368,11,2,22515,19078,29447,12671,89312,20812,59847,2.876,89312,0,84.6,0,0,0,0,44.61,38.3,0.178,0.194,310.9,10052,15,107328,200000,0,0,1
CL-01082,COW-00541,HERD-074,2,10,0,0,0,436,320,5,7,78584,75565,74459,31645,156137,64037,73581,1.149,100525,0,30,20,0,0,0,38.79,21.41,0.136,0.138,197.1,8215,12,82114,200000,0,0,1
CL-01083,COW-00542,HERD-046,1,9,0,0,0,396,299,1,4,72843,73849,85968,48746,132310,100073,81209,0.811,58132,0,22.2,33.3,0,0,0,46.64,27.59,0.184,0.19,280.4,11653,19,51405,200000,0,0,1
CL-01084,COW-00542,HERD-020,2,12,0,0,0,403,215,9,12,39005,45680,46056,12166,81922,27340,63897,2.337,81922,0,58.3,0,0,0,0,44.03,27.94,0.094,0.126,181.6,7702,16,63347,200000,0,0,1
CL-01085,COW-00543,HERD-012,1,10,0,0,0,406,185,10,12,34923,33451,36262,16354,70562,46021,18742,0.407,16354,0,80,0,0,0,0,36.31,30.33,0.094,0.11,270.3,6355,17,21671,200000,0,0,1
CL-01086,COW-00543,HERD-078,5,9,0,0,0,406,303,8,10,107628,152748,296512,53271,870803,218237,218683,1.002,53271,0,0,88.9,44.4,22.2,0,47.62,34.07,0.158,0.178,209.2,10363,22,52029,200000,1,1,0
CL-01087,COW-00544,HERD-046,2,7,0,0,0,423,244,6,9,29306,29306,39468,21717,83430,30684,44183,1.44,21717,0,71.4,0,0,0,0,39.76,32.87,0.184,0.19,280.4,11653,16,138746,200000,0,0,1
CL-01088,COW-00544,HERD-033,2,9,0,0,0,426,218,5,8,95313,51062,55192,23567,95313,66912,45511,0.68,73749,0,44.4,0,0,0,0,44.68,33.95,0.187,0.144,156.7,9366,13,68354,200000,0,0,1
CL-01089,COW-00545,HERD-003,2,8,0,0,0,417,286,10,1,55041,47758,53407,27288,111646,45057,65830,1.461,42645,0,50,12.5,0,0,0,33.84,20.63,0.209,0.207,189.6,9591,8,276936,200000,0,1,0
CL-01090,COW-00545,HERD-070,2,8,1,0,0,360,309,5,7,72080,129052,128799,72080,204118,90003,160273,1.781,,0,0,75,12.5,0,0,43.7,28.51,0.175,0.193,194.9,10809,25,183368,200000,0,0,1
CL-01091,COW-00546,HERD-026,5,10,0,0,1,541,342,8,10,159051,68298,94031,36846,200660,101110,143005,1.414,200660,0,30,30,10,0,0,51.77,37.47,0.143,0.134,164.8,7741,23,42706,200000,0,0,1
CL-01092,COW-00546,HERD-069,4,9,0,0,0,431,275,6,8,1312280,333434,458627,130287,1312280,590068,444940,0.754,130287,1,0,100,88.9,44.4,11.1,40.39,26.42,0.169,0.193,185.3,7911,18,34108,200000,0,0,1
CL-01093,COW-00547,HERD-019,4,12,0,0,0,426,346,9,11,31801,75697,86607,31801,160624,70077,108653,1.55,93321,0,25,33.3,0,0,0,48.64,30.42,0.125,0.128,141.7,11572,13,51317,200000,0,0,1
CL-01094,COW-00547,HERD-076,4,9,0,0,0,439,308,3,6,48576,51354,55307,19679,147244,36495,53864,1.476,51354,0,44.4,11.1,0,0,0,37.77,29.14,0.222,0.182,179.2,8798,22,46640,200000,0,0,1
CL-01095,COW-00548,HERD-022,2,7,0,0,1,399,326,7,9,387900,387900,540187,266411,1387198,379454,650692,1.715,1387198,1,0,100,100,42.9,14.3,52.87,37.52,0.167,0.142,316.9,10302,1,1008011,400000,0,1,0
CL-01096,COW-00548,HERD-081,2,12,0,0,0,435,351,7,9,19012,30676,34840,6170,73310,33276,52497,1.578,73310,0,83.3,0,0,0,0,53.92,42,0.176,0.17,194.7,9342,30,84934,200000,0,0,1
CL-01097,COW-00549,HERD-032,3,7,0,0,1,361,325,1,4,623812,319008,536693,141962,1743755,385809,819154,2.123,319008,1,0,100,85.7,28.6,14.3,50.55,33.32,0.174,0.18,187.1,9895,4,66034,400000,0,0,1
CL-01098,COW-00549,HERD-078,2,12,0,0,0,412,255,3,6,128678,162622,206216,120123,452902,246563,210603,0.854,120123,0,0,100,33.3,8.3,0,34.46,24.49,0.158,0.178,209.2,10363,14,120887,200000,0,0,1
CL-01099,COW-00550,HERD-001,2,10,0,0,0,432,348,3,5,30112,33015,40227,9796,82990,51765,44692,0.863,18944,0,80,0,0,0,0,44.18,27.76,0.125,0.113,238,7936,16,16390,200000,0,0,1
CL-01100,COW-00550,HERD-081,3,12,0,0,0,415,361,7,9,81549,51798,63278,14951,233139,38209,110758,2.899,69679,0,50,8.3,8.3,0,0,37.48,25.44,0.176,0.17,194.7,9342,22,111789,200000,0,0,1
CL-01101,COW-00551,HERD-021,4,7,0,0,1,418,328,5,7,521099,229923,288654,120824,521099,288615,344637,1.194,387604,1,0,100,57.1,28.6,0,46.09,30.09,0.133,0.137,199.8,8217,24,182382,200000,0,0,1
CL-01102,COW-00551,HERD-007,2,10,0,0,0,428,317,12,2,74817,116693,139290,40540,271179,156610,85325,0.545,119749,0,10,70,30,0,0,42.63,31.17,0.089,0.107,226.2,10392,7,39965,200000,0,0,1
CL-01103,COW-00552,HERD-062,1,12,0,0,0,478,213,12,2,31470,20829,33409,7126,162844,18820,69809,3.709,31685,0,91.7,8.3,0,0,0,41.27,27.41,0.221,0.198,312.5,12850,20,35482,200000,0,0,1
CL-01104,COW-00552,HERD-014,4,11,0,0,0,413,357,10,12,39400,172653,161459,39400,336366,104702,218173,2.084,113143,1,9.1,81.8,27.3,0,0,44.19,31.02,0.104,0.109,287.2,12339,20,620453,200000,0,1,0
CL-01105,COW-00553,HERD-018,2,10,0,0,0,422,306,3,6,494481,467988,510375,108860,1622231,256190,502403,1.961,181131,1,0,100,60,60,10,42.25,33.77,0.137,0.16,176.4,12385,12,99755,200000,0,0,1
CL-01106,COW-00553,HERD-045,1,11,0,0,0,368,281,7,9,50914,261982,271351,50914,647533,285153,226530,0.794,139925,1,0,81.8,63.6,18.2,0,35.11,27.67,0.215,0.203,243.4,11936,9,132941,200000,0,0,1
CL-01107,COW-00554,HERD-045,1,8,0,0,1,370,374,4,6,47497,152277,147539,47497,246294,117350,175629,1.497,246294,0,12.5,75,12.5,0,0,26.94,15.32,0.215,0.203,243.4,11936,9,66473,200000,0,0,1
CL-01108,COW-00554,HERD-060,2,9,0,0,0,437,290,7,9,60257,60257,113053,35912,408979,172531,82031,0.475,163056,0,33.3,33.3,11.1,11.1,0,47.03,32.03,0.16,0.169,222.6,10364,17,62875,200000,0,0,1
CL-01109,COW-00555,HERD-084,1,8,0,0,1,328,342,10,12,193217,236581,291554,45110,854026,364118,272189,0.748,375198,0,12.5,87.5,50,12.5,0,27.66,15.52,0.091,0.099,272,9088,5,502956,200000,1,1,0
CL-01110,COW-00555,HERD-077,4,8,0,0,0,384,380,11,2,313671,208532,216406,74410,383182,254987,224979,0.882,74410,0,0,87.5,50,0,0,43.33,33.03,0.248,0.197,80,11285,10,38814,200000,0,0,1
CL-01111,COW-00556,HERD-016,4,10,0,0,0,457,306,3,6,123300,74663,81505,38778,130693,82677,63299,0.766,57456,0,10,30,0,0,0,38.76,19.16,0.143,0.131,200.6,9678,22,60470,200000,0,0,1
CL-01112,COW-00556,HERD-044,1,9,0,0,0,404,311,10,12,39656,46531,52498,22434,90974,36207,70364,1.943,87325,0,55.6,0,0,0,0,32.71,22.32,0.087,0.113,162.6,10449,10,109597,200000,0,0,1
CL-01113,COW-00557,HERD-031,2,10,0,0,0,456,266,8,10,342224,103217,129150,54654,342224,159675,141988,0.889,162135,0,0,60,10,0,0,46.68,34.49,0.184,0.158,237.1,8010,6,140307,200000,0,0,1
CL-01114,COW-00557,HERD-009,2,8,0,0,1,371,278,7,10,320017,254781,248234,87989,404680,267864,235929,0.881,215117,0,0,87.5,62.5,12.5,0,30.37,10.6,0.097,0.135,163.1,9631,19,63181,200000,0,0,1
CL-01115,COW-00558,HERD-016,1,11,0,0,0,423,303,3,5,44983,146501,183799,29214,678133,135439,78105,0.577,86513,0,18.2,63.6,18.2,9.1,0,40.47,27.07,0.143,0.131,200.6,9678,9,44383,200000,0,0,1
CL-01116,COW-00558,HERD-053,2,8,0,0,1,426,272,11,1,46776,82525,110443,33787,224637,104210,120577,1.157,220173,0,37.5,50,25,0,0,42.66,24.88,0.218,0.197,263.2,5347,14,73172,200000,0,0,1
CL-01117,COW-00559,HERD-061,1,11,0,0,0,407,295,5,7,22378,19303,19956,10103,31259,25490,15034,0.59,10124,0,100,0,0,0,0,42.69,28.07,0.206,0.169,222,7228,13,53451,200000,0,0,1
CL-01118,COW-00559,HERD-012,1,10,0,0,1,468,197,1,4,112603,125995,151108,46553,319415,116199,243685,2.097,280339,0,10,80,20,0,0,32.63,21.44,0.094,0.11,270.3,6355,15,266572,200000,1,1,0
CL-01119,COW-00560,HERD-010,2,12,0,0,0,449,295,1,4,54399,56321,57301,12355,94574,57304,73568,1.284,36454,0,41.7,0,0,0,0,42.04,28.28,0.193,0.186,263.5,9745,17,72938,200000,0,0,1
CL-01120,COW-00560,HERD-066,1,9,0,0,0,426,334,3,6,101491,55811,82268,38160,191238,85558,70787,0.827,48940,0,33.3,44.4,0,0,0,34.46,21.8,0.092,0.142,272.4,10891,9,86949,200000,0,0,1
CL-01121,COW-00561,HERD-038,3,9,0,0,1,434,367,7,9,450816,446956,397216,80882,632051,333526,440160,1.32,446956,1,0,88.9,77.8,66.7,0,34.8,22.78,0.182,0.143,293.6,11705,15,114312,200000,0,0,1
CL-01122,COW-00561,HERD-049,1,10,0,0,0,369,257,7,9,134150,118556,121800,50780,311473,113960,80777,0.709,78879,0,0,60,10,0,0,38.78,20.49,0.153,0.163,155.7,11683,5,59530,200000,0,0,1
CL-01123,COW-00562,HERD-069,2,11,0,0,0,335,301,6,8,226846,88864,130590,34219,503673,115810,106865,0.923,151661,0,27.3,27.3,18.2,9.1,0,25.99,13.42,0.169,0.193,185.3,7911,20,37784,200000,0,0,1
CL-01124,COW-00562,HERD-044,2,9,0,0,0,450,327,5,7,47862,59074,63570,24277,115282,56050,58234,1.039,53437,0,22.2,11.1,0,0,0,35.5,28.68,0.087,0.113,162.6,10449,14,32201,200000,0,0,1
CL-01125,COW-00563,HERD-064,2,11,0,0,0,400,327,6,9,42844,106297,112596,42844,196933,92394,122951,1.331,64897,0,9.1,54.5,0,0,0,47.96,26.87,0.13,0.136,80,6610,16,14879,200000,0,0,1
CL-01126,COW-00563,HERD-080,5,9,0,0,0,449,337,9,12,33010,43261,82813,21453,267185,53628,110633,2.063,21453,0,66.7,33.3,11.1,0,0,49.3,38.86,0.168,0.167,327.3,5493,17,51597,200000,0,0,1
CL-01127,COW-00564,HERD-002,1,10,0,0,0,345,256,1,4,211874,181510,164741,44253,214033,172192,187566,1.089,196445,0,10,90,20,0,0,36.9,25.76,0.055,0.105,133.7,10327,14,161906,200000,0,0,1
CL-01128,COW-00564,HERD-014,1,9,0,0,0,433,267,6,9,27454,27454,27717,16601,35404,32234,27046,0.839,34397,0,100,0,0,0,0,39.09,28.06,0.104,0.109,287.2,12339,14,90586,200000,0,0,1
CL-01129,COW-00565,HERD-078,1,11,0,0,0,411,253,10,1,57382,57382,72067,30087,158636,89996,66128,0.735,57742,0,27.3,18.2,0,0,0,31.54,26.35,0.158,0.178,209.2,10363,5,69660,200000,0,0,1
CL-01130,COW-00565,HERD-066,1,11,0,0,0,398,322,6,9,12658,27857,33462,12658,59333,34306,23648,0.689,16034,0,90.9,0,0,0,0,39.42,23.87,0.092,0.142,272.4,10891,14,26057,200000,0,0,1
CL-01131,COW-00566,HERD-061,5,11,0,0,1,449,316,12,3,441919,472329,700610,181182,2139405,391442,481393,1.23,892064,1,0,100,90.9,63.6,18.2,43.04,27.17,0.206,0.169,222,7228,13,271533,200000,0,1,0
CL-01132,COW-00566,HERD-031,1,12,0,0,0,437,302,10,12,23519,57427,74531,23519,197723,71334,107813,1.511,89969,0,41.7,25,0,0,0,43.24,25.74,0.184,0.158,237.1,8010,17,114640,200000,0,0,1
CL-01133,COW-00567,HERD-006,1,8,0,0,0,407,267,12,3,225421,217513,192967,75821,334895,176304,238851,1.355,89008,1,0,62.5,62.5,0,0,33.49,21.06,0.113,0.137,191.6,10021,26,72306,200000,0,0,1
CL-01134,COW-00567,HERD-007,4,7,0,0,1,489,293,2,5,171131,171131,198498,95328,384533,139632,239124,1.713,384533,0,0,85.7,28.6,0,0,41.21,28.45,0.089,0.107,226.2,10392,5,35330,200000,0,0,1
CL-01135,COW-00568,HERD-065,1,11,0,0,1,322,249,8,11,161508,305695,383843,115947,1437217,269839,382264,1.417,416602,1,0,100,54.5,36.4,9.1,46.82,30.57,0.145,0.132,159.4,9309,15,439276,200000,0,1,0
CL-01136,COW-00568,HERD-062,2,10,0,0,0,353,303,12,2,94556,64889,116945,31442,309991,149851,102171,0.682,51499,0,20,30,30,0,0,37.08,23.6,0.221,0.198,312.5,12850,15,39052,200000,0,0,1
CL-01137,COW-00569,HERD-002,1,12,1,1,1,382,319,7,9,169898,78040,91219,25006,193889,81699,79218,0.97,,0,41.7,41.7,0,0,0,43.99,34.45,0.055,0.105,133.7,10327,2,980208,400000,0,1,0
CL-01138,COW-00569,HERD-002,1,10,0,0,0,375,338,8,10,80360,24223,32569,8058,80360,45573,24525,0.538,23034,0,80,0,0,0,0,36.38,27.26,0.055,0.105,133.7,10327,11,24466,200000,0,0,1
